code,hs2,imports,commodity,exports,total
MB,27,3642308229,Mineral fuels & oils,0,3642308229
ON,62,3532220681,Woven apparel,0,3532220681
ON,34,3524202645,Soap & cleaning products,0,3524202645
ON,02,3488774997,Meat & offal,0,3488774997
QC,74,3462213897,Copper,0,3462213897
MB,87,3431408879,Vehicles,0,3431408879
QC,28,3339334682,Inorganic chemicals,0,3339334682
QC,90,3243529411,Optical & medical instruments,0,3243529411
AB,85,3143441881,Electrical equipment,0,3143441881
ON,74,3069813132,Copper,0,3069813132
ON,18,3007351453,Cocoa & cocoa products,0,3007351453
QC,39,2961264941,Plastics,0,2961264941
BC,27,2934683725,Mineral fuels & oils,0,2934683725
ON,07,2894786669,Vegetables,0,2894786669
QC,71,2798538665,Precious metals & stones,0,2798538665
ON,32,2692947590,Tanning & dye extracts,0,2692947590
ON,83,2688120198,Miscellaneous metal articles,0,2688120198
BC,39,2568258025,Plastics,0,2568258025
SK,87,2565932602,Vehicles,0,2565932602
BC,73,2389787543,Articles of iron & steel,0,2389787543
MB,85,2367229494,Electrical equipment,0,2367229494
ON,20,2343221845,Prepared vegetables,0,2343221845
BC,61,2321540833,Knitted apparel,0,2321540833
ON,70,2315269771,Glass,0,2315269771
BC,94,2279434464,Furniture,0,2279434464
NL,84,2267551429,Machinery & mechanical appliances,0,2267551429
QC,18,2255182709,Cocoa & cocoa products,0,2255182709
QC,40,2253921418,Rubber,0,2253921418
ON,64,2228280211,Footwear,0,2228280211
ON,26,2222596356,"Ores, slag & ash",0,2222596356
QC,94,2213313208,Furniture,0,2213313208
SK,27,2193429104,Mineral fuels & oils,0,2193429104
ON,28,2188340451,Inorganic chemicals,0,2188340451
ON,09,2132201717,"Coffee, tea & spices",0,2132201717
BC,90,2113344871,Optical & medical instruments,0,2113344871
BC,08,2112858765,Fruit & nuts,0,2112858765
ON,23,2068670264,Food industry residues,0,2068670264
ON,82,2063093898,Tools & cutlery,0,2063093898
QC,22,2024329629,Beverages & spirits,0,2024329629
QC,73,1980156256,Articles of iron & steel,0,1980156256
