partner,imports,exports,total
Antarctica,709844,6736311,7446155
Vanuatu,1104742,5940615,7045357
Christmas Island,2356918,4209600,6566518
Andorra,3004413,3533818,6538231
Other (KM),701790,5157489,5859279
Falkland Islands (Malvinas),4252922,1554919,5807841
Tonga,1598554,3943962,5542516
Other (SB),1372244,4125557,5497801
Other (SH),3762936,1469847,5232783
Kiribati,3495703,1511607,5007310
Other (KI),1008106,3875498,4883604
Other (CF),1707025,2699129,4406154
Samoa,2049403,2297903,4347306
Other (VU),2294207,2050655,4344862
Solomon Islands,1451116,2620820,4071936
Bhutan,1663772,2191924,3855696
Other (FK),3180691,468871,3649562
Other (TO),181499,3311257,3492756
Pitcairn,1671886,1809377,3481263
Other (AD),2210669,1065842,3276511
Other (CK),521220,2688499,3209719
Cocos (Keeling) Islands,1502522,1319526,2822048
Guinea-Bissau,259513,2349785,2609298
Other (MS),1008291,1514089,2522380
Other (BT),1020832,1468277,2489109
Sao Tome and Principe,1276680,1184362,2461042
"Saint Helena, Ascension and Tristan da Cunha",1398120,917599,2315719
Other (WS),1145075,900088,2045163
Cook Islands,591022,1426717,2017739
Other (NR),1178650,683843,1862493
Wallis and Futuna,103878,1571892,1675770
Norfolk Island,736865,916587,1653452
Other (IO),347942,1283708,1631650
Niue,1386822,211289,1598111
British Indian Ocean Territory,719389,794837,1514226
Other (NU),416504,895458,1311962
Other (TF),851747,392038,1243785
Other (ST),168294,944618,1112912
Other (CC),559026,536010,1095036
Other (KP),466449,462128,928577
French Southern Territories,71554,842255,913809
Other (NF),129379,733825,863204
Other (HM),58789,693882,752671
Other (GW),71813,616003,687816
Heard Island and McDonald Islands,206553,457699,664252
Other (PN),282096,294925,577021
"Korea, North",0,433876,433876
Bouvet Island,116180,273243,389423
Other (WF),81169,230227,311396
Other (EH),117363,140812,258175
Western Sahara,132795,109163,241958
Other (ZZ),0,79120,79120
Other (BV),64936,14051,78987
